"ID"	"POP"	"TISSUE"	"STAGE"	"LON"	"AMP"	"MONTH"	"YEAR"	"SALINITY"	"SAMPLING"	"ORGANISM"
"161"	"VIL102B"	"VIL"	"GILL"	"JUV"	"24.9"	"15.1"	"APR"	2020	34	2	S
"162"	"VIL102D"	"VIL"	"DIGESTIVE"	"JUV"	"24.9"	"15.1"	"APR"	2020	34	2	S
"163"	"VIL102T"	"VIL"	"TUNIC"	"JUV"	"24.9"	"15.1"	"APR"	2020	34	2	S
"164"	"VIL104B"	"VIL"	"GILL"	"JUV"	"19.9"	"15.9"	"APR"	2020	34	2	S
"165"	"VIL104D"	"VIL"	"DIGESTIVE"	"JUV"	"19.9"	"15.9"	"APR"	2020	34	2	S
"166"	"VIL104T"	"VIL"	"TUNIC"	"JUV"	"19.9"	"15.9"	"APR"	2020	34	2	S
"167"	"VIL106B"	"VIL"	"GILL"	"JUV"	"24.3"	"21.3"	"APR"	2020	34	2	S
"168"	"VIL106D"	"VIL"	"DIGESTIVE"	"JUV"	"24.3"	"21.3"	"APR"	2020	34	2	S
"169"	"VIL106T"	"VIL"	"TUNIC"	"JUV"	"24.3"	"21.3"	"APR"	2020	34	2	S
"170"	"VIL109B"	"VIL"	"GILL"	"JUV"	"24.0"	"16.0"	"APR"	2020	34	2	S
"171"	"VIL109D"	"VIL"	"DIGESTIVE"	"JUV"	"24.0"	"16.0"	"APR"	2020	34	2	S
"172"	"VIL109T"	"VIL"	"TUNIC"	"JUV"	"24.0"	"16.0"	"APR"	2020	34	2	S
"173"	"VIL111B"	"VIL"	"GILL"	"JUV"	"22.4"	"15.0"	"APR"	2020	34	2	S
"174"	"VIL111D"	"VIL"	"DIGESTIVE"	"JUV"	"22.4"	"15.0"	"APR"	2020	34	2	S
"175"	"VIL111T"	"VIL"	"TUNIC"	"JUV"	"22.4"	"15.0"	"APR"	2020	34	2	S
"176"	"VIL81B"	"VIL"	"GILL"	"ADULT"	"62.6"	"36.6"	"APR"	2020	34	2	S
"177"	"VIL81D"	"VIL"	"DIGESTIVE"	"ADULT"	"62.6"	"36.6"	"APR"	2020	34	2	S
"178"	"VIL81T"	"VIL"	"TUNIC"	"ADULT"	"62.6"	"36.6"	"APR"	2020	34	2	S
"179"	"VIL82B"	"VIL"	"GILL"	"ADULT"	"54.2"	"38.7"	"APR"	2020	34	2	S
"180"	"VIL82D"	"VIL"	"DIGESTIVE"	"ADULT"	"54.2"	"38.7"	"APR"	2020	34	2	S
"181"	"VIL82T"	"VIL"	"TUNIC"	"ADULT"	"54.2"	"38.7"	"APR"	2020	34	2	S
"182"	"VIL85B"	"VIL"	"GILL"	"ADULT"	"56.0"	"35.0"	"APR"	2020	34	2	S
"183"	"VIL85D"	"VIL"	"DIGESTIVE"	"ADULT"	"56.0"	"35.0"	"APR"	2020	34	2	S
"184"	"VIL85T"	"VIL"	"TUNIC"	"ADULT"	"56.0"	"35.0"	"APR"	2020	34	2	S
"185"	"VIL86B"	"VIL"	"GILL"	"ADULT"	"63.4"	"46.6"	"APR"	2020	34	2	S
"186"	"VIL86D"	"VIL"	"DIGESTIVE"	"ADULT"	"63.4"	"46.6"	"APR"	2020	34	2	S
"187"	"VIL86T"	"VIL"	"TUNIC"	"ADULT"	"63.4"	"46.6"	"APR"	2020	34	2	S
"188"	"VIL87B"	"VIL"	"GILL"	"ADULT"	"61.3"	"38.6"	"APR"	2020	34	2	S
"189"	"VIL87D"	"VIL"	"DIGESTIVE"	"ADULT"	"61.3"	"38.6"	"APR"	2020	34	2	S
"190"	"VIL87T"	"VIL"	"TUNIC"	"ADULT"	"61.3"	"38.6"	"APR"	2020	34	2	S
"191"	"VILW11"	"VIL"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34	2	W
"192"	"VILW12"	"VIL"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34	2	W
"193"	"VILW14"	"VIL"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34	2	W
"194"	"VILW15"	"VIL"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34	2	W
